Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2GFT-20: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,Contractor
,2GFT-20-21-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,21,Tom Grieve
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 21,101.48",,,,
06-04-00-01/01-01,576F Cable to be terminated in FAN on HDODF,cable,,"$ 1,200.00",1,"$ 1,200.00",,,,
,2GFT-ODF-020-S20,cable,Craig Comms,"$ 1,200.00",1,"$ 1,200.00",,,01,Tom Grieve
,,,,,,,,,,
06-04-00-02/01-01,Supply & install patching cable for PON patching.,cable,,$ 50.00,42,"$ 2,100.00",,,,
,2GFT-ODF-020-S20,cable,Craig Comms,$ 50.00,42,"$ 2,100.00",,,01,Tom Grieve
,,,,,,,,,,
06-05-00-01/01-01,Installation of a multiport in underground pit or manhole.,ea,,$ 42.42,21,$ 890.82,,,,
,2GFT-20-01-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,01,Tom Grieve
,2GFT-20-02-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,02,Tom Grieve
,2GFT-20-03-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,03,Tom Grieve
,2GFT-20-04-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,04,Tom Grieve
,2GFT-20-05-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,05,Tom Grieve
,2GFT-20-06-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,06,Tom Grieve
,2GFT-20-07-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,07,Tom Grieve
,2GFT-20-08-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,08,Tom Grieve
,2GFT-20-09-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,09,Tom Grieve
,2GFT-20-10-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,10,Tom Grieve
,2GFT-20-11-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,11,Tom Grieve
,2GFT-20-12-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,12,Tom Grieve
,2GFT-20-13-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,13,Tom Grieve
,2GFT-20-14-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,14,Tom Grieve
,2GFT-20-15-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,15,Tom Grieve
,2GFT-20-16-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,16,Tom Grieve
,2GFT-20-17-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,17,Tom Grieve
,2GFT-20-18-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,18,Tom Grieve
,2GFT-20-19-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,19,Tom Grieve
,2GFT-20-20-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,20,Tom Grieve
,2GFT-20-21-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,21,Tom Grieve
,,,,,,,,,,
06-06-00-01/01-01,Splicing of optic fibre ribbons.,ribbon,,$ 19.15,218,"$ 4,174.70",,,,
,2GFT-20-00-DJL-001,ribbon,Craig Comms,$ 19.15,36,$ 689.40,,,00,Tom Grieve
,2GFT-20-00-DJL-002,ribbon,Craig Comms,$ 19.15,36,$ 689.40,,,00,Tom Grieve
,2GFT-20-00-DJL-003,ribbon,Craig Comms,$ 19.15,36,$ 689.40,,,00,Tom Grieve
,2GFT-20-00-DJL-004,ribbon,Craig Comms,$ 19.15,36,$ 689.40,,,00,Tom Grieve
,2GFT-20-00-DJL-005,ribbon,Craig Comms,$ 19.15,36,$ 689.40,,,00,Tom Grieve
,2GFT-20-00-DJL-006,ribbon,Craig Comms,$ 19.15,36,$ 689.40,,,00,Tom Grieve
,2GFT-20-00-DJL-007,ribbon,Craig Comms,$ 19.15,2,$ 38.30,,,00,Tom Grieve
,,,,,,,,,,
